iso_code,location,population,human_development_index,life_expectancy,hospital_beds_per_thousand,aged_65_older,median_age,population_density,continent,Nombre de cas,Nombre de morts,Nombre de cas par million,Nombre de morts par million,Nombre de vaccinés ( au moins une dose),Nombre de vaccinés ( toutes les doses),Index,Nombre de vaccinés ( toutes les doses) par million
THA,Thailand,71697024.0,0.777,77.15,2.1,11.373,40.1,135.132,Asia,4723618.0,33650.0,65883.041,469.336,57005497.0,53486086.0,137,746001.4797824802
JPN,Japan,123951696.0,0.919,84.63,13.05,27.049,48.2,347.778,Asia,29489769.0,57952.0,237913.397,467.537,104543871.0,103138549.0,138,832086.6299401019
KGZ,Kyrgyzstan,6630621.0,0.697,71.45,4.5,4.489,26.3,32.333,Asia,206567.0,2991.0,31153.492,451.089,1637320.0,1361422.0,139,205323.4531124611
NZL,New Zealand,5185289.0,0.931,82.29,2.61,15.322,37.9,18.206,Oceania,2117669.0,2331.0,408399.416,449.541,4299152.0,4137155.0,140,797863.9184816893
VNM,Vietnam,98186856.0,0.704,75.4,2.6,7.15,32.6,308.127,Asia,11525408.0,43186.0,117382.392,439.835,90399369.0,85553108.0,141,871329.5392613447
MAR,Morocco,37457976.0,0.686,76.68,1.1,6.769,29.6,80.08,Africa,1271671.0,16295.0,33949.272,435.021,25015241.0,23515876.0,142,627793.5572386506
MHL,Marshall Islands,41593.0,0.704,73.7,2.7,,,295.15,Oceania,15554.0,17.0,373957.156,408.723,,,143,
NPL,Nepal,30547586.0,0.602,70.78,0.3,5.809,25.0,204.43,Asia,1001005.0,12019.0,32768.71,393.452,27566723.0,24057021.0,144,787526.0912597153
OWID_LMC,Lower middle income,3432097300.0,,,,,,,,97145651.0,1344056.0,28305.04,391.614,2221993948.0,1979105621.0,145,576646.1285931491
DOM,Dominican Republic,11228821.0,0.756,74.08,1.6,6.981,27.6,222.873,North America,658863.0,4384.0,58676.062,390.424,7300637.0,6071986.0,146,540750.0929972968
IND,India,1417173120.0,0.645,69.66,0.53,5.989,28.2,450.419,Asia,44680355.0,530707.0,31527.803,374.483,1027209389.0,951225480.0,147,671213.3236057991
GRL,Greenland,56494.0,,71.7,,,,0.137,North America,11971.0,21.0,211898.609,371.721,41227.0,38511.0,148,681683.0105851949
