Pays,Date,Premiers cas,latitude,longitude,nbr ligne
liberia,2020-03-17,3.0,6.428055,-9.429499,1
libya,2020-03-04,1.0,26.3351,17.228331,1
liechtenstein,2020-03-04,1.0,47.166,9.555373,1
lithuania,2020-03-19,1.0,55.169438,23.881275,1
saint lucia,2020-03-14,1.0,13.909444,-60.978893,1
luxembourg,2020-02-12,1.0,49.815273,6.129583,1
sri lanka,2020-01-27,1.0,7.873054,80.771797,1
madagascar,2020-03-20,3.0,-18.766947,46.869107,1
malawi,2020-03-29,3.0,-13.254308,34.301525,1
malaysia,2020-01-24,4.0,4.210484,101.975766,1
maldives,2020-03-08,4.0,3.202778,73.22068,1
mali,2020-03-25,2.0,17.570692,-3.996166,1
malta,2020-03-05,3.0,35.937496,14.375416,1
morocco,2020-02-07,1.0,31.791702,-7.09262,1
marshall islands,2020-05-07,1.0,7.131474,171.184478,1
monaco,2020-02-29,1.0,43.750298,7.412841,1
mauritania,2020-03-14,1.0,21.00789,-10.940835,1
moldova,2020-03-08,1.0,47.411631,28.369885,1
mauritius,2020-03-18,3.0,-20.348404,57.552152,1
montenegro,2020-03-17,2.0,42.708678,19.37439,1
mexico,2020-01-01,1.0,23.634501,-102.552784,1
mongolia,2020-03-10,1.0,46.862496,103.846656,1
montserrat,2020-03-18,1.0,16.742498,-62.187366,1
northern mariana islands,2020-04-04,,17.33083,145.38469,1
mozambique,2020-03-22,1.0,-18.665695,35.529562,1
namibia,2020-03-14,2.0,-22.95764,18.49041,1
nauru,2021-04-08,2.0,-0.522778,166.931503,1
nepal,2020-01-25,1.0,28.394857,84.124008,1
netherlands,2020-02-27,1.0,52.132633,5.291266,1
new caledonia,2020-03-19,2.0,-20.904305,165.618042,1
new zealand,2020-02-28,1.0,-40.900557,174.885971,1
nicaragua,2020-03-19,1.0,12.865416,-85.207229,1
niger,2020-03-20,1.0,17.607789,8.081666,1
nigeria,2020-02-28,1.0,9.081999,8.675277,1
niue,2021-06-21,,-19.054445,-169.867233,1
norway,2020-02-12,1.0,60.472024,8.468946,1
oman,2020-02-24,2.0,21.512583,55.923255,1
pakistan,2020-02-25,2.0,30.375321,69.345116,1
palau,2021-08-22,1.0,7.51498,134.58252,1
panama,2020-03-09,1.0,8.537981,-80.782127,1
peru,2020-03-06,1.0,-9.189967,-75.015152,1
papua new guinea,2020-03-20,1.0,-6.314993,143.95555,1
paraguay,2020-03-07,1.0,-23.442503,-58.443832,1
philippines,2020-01-30,1.0,12.879721,121.774017,1
poland,2020-03-04,1.0,51.919438,19.145136,1
saint pierre and miquelon,2020-04-05,1.0,46.941936,-56.27111,1
portugal,2020-03-01,2.0,39.399872,-8.224454,1
puerto rico,2020-03-01,,18.220833,-66.590149,1
qatar,2020-02-29,1.0,25.354826,51.183884,1
romania,2020-02-26,1.0,45.943161,24.96676,1
russia,2020-01-31,2.0,61.52401,105.318756,1
rwanda,2020-03-14,1.0,-1.940278,29.873888,1
saint helena,2020-09-07,2.0,-24.143474,-10.030696,1
serbia,2020-02-26,1.0,44.016521,21.005859,1
saint vincent and the grenadines,2020-03-14,1.0,12.984305,-61.287228,1
samoa,2020-11-18,1.0,-13.759029,-172.104629,1
san marino,2020-02-29,1.0,43.94236,12.457777,1
saudi arabia,2020-03-02,1.0,23.885942,45.079162,1
solomon islands,2020-10-12,2.0,-9.64571,160.156194,1
seychelles,2020-03-15,6.0,-4.679574,55.491977,1
sudan,2020-03-13,1.0,12.862807,30.217636,1
senegal,2020-02-28,1.0,14.497401,-14.452362,1
sweden,2020-02-01,1.0,60.128161,18.643501,1
singapore,2020-01-23,1.0,1.352083,103.819836,1
sierra leone,2020-03-31,1.0,8.460555,-11.779889,1
slovenia,2020-02-02,2.0,46.151241,14.995463,1
slovakia,2020-03-06,1.0,48.669026,19.699024,1
somalia,2020-03-16,1.0,5.152149,46.199616,1
south africa,2020-02-07,1.0,-30.559482,22.937506,1
suriname,2020-03-14,1.0,3.919305,-56.027783,1
syria,2020-03-22,1.0,34.802075,38.996815,1
turks and caicos islands,2020-03-28,4.0,21.694025,-71.797928,1
togo,2020-03-04,1.0,8.619543,0.824782,1
thailand,2020-01-04,4.0,15.870032,100.992541,1
tajikistan,2020-05-01,15.0,38.861034,71.276093,1
taiwan,2020-01-16,1.0,23.69781,120.960515,1
tokelau,2021-06-21,,-8.967363,-171.855881,1
tanzania,2020-03-16,1.0,-6.369028,34.888822,1
turkmenistan,2021-02-28,,38.969719,59.556278,1
tunisia,2020-03-04,1.0,33.886917,9.537499,1
tonga,2021-04-20,1.0,-21.178986,-175.198242,1
turkey,2020-03-11,1.0,38.963745,35.243322,1
trinidad and tobago,2020-03-14,2.0,10.691803,-61.222503,1
tuvalu,2021-04-27,3.0,-7.109535,177.64933,1
ukraine,2020-03-03,1.0,48.379433,31.16558,1
uganda,2020-03-21,1.0,1.373333,32.290275,1
united states,2020-01-22,1.0,37.09024,-95.712891,1
uruguay,2020-03-13,4.0,-32.522779,-55.765835,1
uzbekistan,2020-03-15,1.0,41.377491,64.585262,1
venezuela,2020-03-14,2.0,6.42375,-66.58973,1
vietnam,2020-01-23,2.0,14.058324,108.277199,1
vanuatu,2020-11-10,1.0,-15.376706,166.959158,1
wallis and futuna,2020-10-19,1.0,-13.768752,-177.156097,1
yemen,2020-04-10,1.0,15.552727,48.516388,1
zambia,2020-03-18,2.0,-13.133897,27.849332,1
zimbabwe,2020-03-20,1.0,-19.015438,29.154857,1
